ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,PAGE_ICON
GetCleft,https://github.com/NRGlab/Get_Cleft,,,http://biophys.umontreal.ca/nrg/resources.html,Protein Structure,Binding Site Prediction,,,"The detection of cavities, both internal or surface-exposed (standalone)",4.0,01/2019,68 months ago,,,simple/authelia
Graphsite-classifier,https://github.com/shiwentao00/Graphsite-classifier,https://doi.org/10.3390/biom12081053,,,Protein Structure,Binding Site Prediction,,,deep graph neural network to classify ligand-binding sites on proteins (standalone),9.0,12/2022,20 months ago,,6.0,simple/authelia
GrASP,https://github.com/tiwarylab/GrASP/tree/main,https://doi.org/10.1101/2023.07.25.550565,,,Protein Structure,Binding Site Prediction,,,GrASP (Graph Attention Site Prediction) identifies druggable binding sites using graph neural networks with attention.,49.0,05/2024,3 months ago,,5.0,simple/authelia
GRaSP-py,https://github.com/charles-abreu/GRaSP,https://doi.org/10.1093/bioinformatics/btaa805,https://grasp.ufv.br/,,Protein Structure,Binding Site Prediction,,,a graph-based residue neighborhood strategy to predict binding sites (standalone),15.0,12/2021,33 months ago,,13.0,simple/authelia
IF-SitePred,https://github.com/oxpig/binding-sites,https://doi.org/10.1186/s13321-024-00821-4,,,Protein Structure,Binding Site Prediction,,,"IF-SitePred is a method for predicting ligand-binding sites on protein structures. It first generates an embedding for each residue of the protein using the ESM-IF1 model, then performs point cloud clustering to identify binding site centres.",6.0,03/2024,5 months ago,,3.0,simple/authelia
Kalasanty,http://gitlab.com/cheminfIBB/kalasanty,https://doi.org/10.1038/s41598-020-61860-z,,,Protein Structure,Binding Site Prediction,,,Improving detection of protein-ligand binding sites with 3D segmentation (standalone),,,,,71.0,simple/authelia
P2rank,https://github.com/rdk/p2rank,https://doi.org/10.1186/s13321-018-0285-8,,,Protein Structure,Binding Site Prediction,,,"P2Rank is a machine learning-based tool for predicting ligand-binding sites from protein structures, capable of handling various structure formats including AlphaFold models.",237.0,08/2024,1 months ago,,230.0,simple/authelia
POCASA,,https://doi.org/10.1111%2Fcgf.13158,http://altair.sci.hokudai.ac.jp/g6/service/pocasa/,,Protein Structure,Binding Site Prediction,,,"geometry-based, pockets and cavities, volume... (online)",,,,,33.0,simple/authelia
PocketAnalyzerPCA,,,,http://sourceforge.net/projects/papca/,Protein Structure,Binding Site Prediction,,,Identify cavities and crevices in proteins (standalone),,,,,,simple/authelia
PocketDruggability,https://github.com/ShipraMalhotra/PocketDruggability,https://doi.org/10.1021/ci5006004,,,Protein Structure,Binding Site Prediction,,,A model that predicts the “attainable binding affinity” for a given binding pocket on a protein; this model relies on 13 physiochemical and structural features calculated using the protein structure (standalone),4.0,04/2020,53 months ago,,79.0,simple/authelia
PocketQuery,,https://doi.org/10.1093/nar/gks336,http://pocketquery.csb.pitt.edu/upload.html,,Protein Structure,Binding Site Prediction,,,energy-based (online),,,,,70.0,simple/authelia
PointSite,https://github.com/PointSite/PointSite,https://doi.org/10.1101/831131,,,Protein Structure,Binding Site Prediction,,,a point cloud segmentation tool for identification of protein ligand binding atoms (standalone),51.0,04/2020,53 months ago,,1.0,simple/authelia
PrankWeb 3,,https://doi.org/10.1093/nar/gkz424,,https://prankweb.cz/,Protein Structure,Binding Site Prediction,,,accelerated ligand-binding site predictions for experimental and modelled protein structures (online),,,,,237.0,simple/authelia
ProteinPocketDetection,https://github.com/rdzhao/PPD,,,,Protein Structure,Binding Site Prediction,,,Protein pocket detection via convex hull surface evolution and associated Reeb graph (standalone),8.0,05/2018,76 months ago,,,simple/authelia
PUResNet,https://github.com/jivankandel/PUResNet,https://doi.org/10.1186/s13321-021-00547-7,https://nsclbio.jbnu.ac.kr/tools/jmol,,Protein Structure,Binding Site Prediction,,,Predicting protein-ligand binding sites using deep convolutional neural network (binding pocket) (standalone),47.0,01/2024,7 months ago,,61.0,simple/authelia
pyKVFinder,https://github.com/LBC-LNBio/pyKVFinder,https://doi.org/10.1186/s12859-021-04519-4,,,Protein Structure,Binding Site Prediction,,,Python package for biomolecular cavity detection and characterization in data science (standalone),19.0,08/2024,0 months ago,,15.0,simple/authelia
PyVOL,,https://doi.org/10.1101/816702,,https://schlessinger-lab.github.io/pyvol/introduction.html,Protein Structure,Binding Site Prediction,,,"python library packaged into a PyMOL GUI for identifying protein binding pockets, find volume, also via python command line (standalone)",,,,,32.0,simple/authelia
SGPocket,https://github.com/KevinCrp/SGPocket,https://doi.org/10.2174/0109298673289137240304165758,,,Protein Structure,Binding Site Prediction,,,A Graph Convolutional Neural Network to predict protein binding site.,0.0,11/2023,9 months ago,,0.0,simple/authelia
SiteFerret,https://github.com/concept-lab/SiteFerret,https://doi.org/10.1371/journal.pone.0059744,,,Protein Structure,Binding Site Prediction,,,beyond simple pocket identification in proteins (standalone),10.0,03/2023,17 months ago,,94.0,simple/authelia
SiteHound-web,,https://doi.org/10.1093%2Fnar%2Fgkp281,http://scbx.mssm.edu/sitehound/sitehound-web/Input.html,,Protein Structure,Binding Site Prediction,,,energy-based (send chemical probes) (online),,,,,163.0,simple/authelia
SplitPocket,,https://doi.org/10.1093/nar/gkp308,http://pocket.med.wayne.edu/patch/,,Protein Structure,Binding Site Prediction,,,geometry-based (online),,,,,31.0,simple/authelia
PUResNetV2.0,https://github.com/jivankandel/PUResNetV2.0,https://doi.org/10.1186/s13321-024-00865-6,https://nsclbio.jbnu.ac.kr/tools/jmol/docs,,Protein Structure,Binding Site Prediction,,,state-of-the-art deep learning model designed to predict ligand binding sites in protein structures.,9.0,06/2024,3 months ago,,1.0,simple/authelia
LVPocket,https://github.com/ZRF-ZRF/LVpocket,https://doi.org/10.1186/s13321-024-00871-8,,,Protein Structure,Binding Site Prediction,,,3D global-local information to protein binding pockets prediction,5.0,05/2024,3 months ago,,0.0,simple/authelia
EquiPocket,https://github.com/fengyuewuya/EquiPocket,https://doi.org/10.48550/arXiv.2302.12177,,,Protein Structure,Binding Site Prediction,,,E(3)-Equivariant Geometric Graph Neural Network for Ligand Binding Site Prediction,12.0,05/2024,3 months ago,,0.0,simple/authelia
Allo,https://github.com/fibonaccirabbits/allo,https://doi.org/10.1111/cbdd.13161,,,Protein Structure,Binding Site Prediction,Allosteric Site Prediction,,a tool for dicriminating and prioritizing allosteric pockets (standalone),1.0,08/2018,73 months ago,,16.0,simple/authelia
AlloReverse,,https://doi.org/10.1093/nar/gkad279,http://www.allostery.net/AlloReverse/,,Protein Structure,Binding Site Prediction,Allosteric Site Prediction,,"AlloReverse predicts multi-scale allosteric regulation information based on reversed allosteric communication theory, aiding in drug design and biological mechanism understanding.",,,,,7.0,simple/authelia
AlloSite,,https://doi.org/10.1093/bioinformatics/btt399,http://mdl.shsmu.edu.cn/AST/,,Protein Structure,Binding Site Prediction,Allosteric Site Prediction,,allosteric site (online),,,,,150.0,simple/authelia
APOP,https://github.com/Ambuj-UF/APOP,,https://apop.bb.iastate.edu/,,Protein Structure,Binding Site Prediction,Allosteric Site Prediction,,Predicting Allosteric Pockets in Protein Biological Assemblages (standalone),3.0,02/2022,31 months ago,,,simple/authelia
PASSer,,https://doi.org/10.1088/2632-2153/abe6d6,https://passer.smu.edu/,,Protein Structure,Binding Site Prediction,Allosteric Site Prediction,,"Designed for accurate allosteric site prediction, PASSer offers three machine learning models for quick and extensive allosteric analysis.",,,,,37.0,simple/authelia
PASSerRank,https://github.com/smu-tao-group/PASSerRank,https://doi.org/10.48550/arXiv.2302.01117,,,Protein Structure,Binding Site Prediction,Allosteric Site Prediction,,Prediction of allosteric sites with learning to rank (standalone),5.0,06/2023,15 months ago,,0.0,simple/authelia
PocketMiner,https://github.com/Mickdub/gvp/tree/pocket_pred,https://doi.org/10.48550/arXiv.2009.01411,,,Protein Structure,Binding Site Prediction,Cryptic Pockets,,predicting the locations of cryptic pockets from single protein structures (standalone),74.0,03/2021,42 months ago,,0.0,simple/authelia
CryptoBnech,,https://doi.org/10.1101/2024.08.20.608828,,https://osf.io/pz4a9/,Protein Structure,Binding Site Prediction,Cryptic Pockets,Benchmark,Cryptic protein-ligand binding sites dataset and benchmark,,,,,0.0,simple/authelia
FTMap,,https://doi.org/10.1038/nprot.2015.043,https://ftmap.bu.edu/show_example.php?example=ace,,Protein Structure,Binding Site Prediction,Fragment Site Prediction,,FTMap maps unbound protein surfaces to identify druggable hot spots where small molecules may bind.,,,,,487.0,simple/authelia
CHARMM-GUI LBS Finder & Refiner,,,,https://charmm-gui.org/?doc=input/lbsfinder,Protein Structure,Binding Site Prediction,From Molecular Dynamics simulations,,Ligand Binding Site Prediction and Refinement (standalone),,,,,,simple/authelia
ColaBind,https://github.com/porekhov/CG_probeMD,https://doi.org/10.1073/pnas.2214024119);,,,Protein Structure,Binding Site Prediction,From Molecular Dynamics simulations,,Cloud-Based Approach for Prediction of Binding Sites Using Coarse-Grained Simulations with Molecular Probes,11.0,03/2024,6 months ago,,0.0,simple/authelia
POVME2,https://github.com/durrantlab/POVME/,https://doi.org/10.1021%2Fct500381c,,https://durrantlab.pitt.edu/povme2/,Protein Structure,Binding Site Prediction,From Molecular Dynamics simulations,,"POVME2 identifies druggable protein pockets and their unique conformations within molecular dynamics simulations, facilitating the discovery of novel pharmacologically active molecules.",4.0,06/2023,15 months ago,,204.0,simple/authelia
TACTICS,https://github.com/Albert-Lau-Lab/tactics_protein_analysis,https://doi.org/10.1021%2Facs.jcim.1c00204,,,Protein Structure,Binding Site Prediction,From Molecular Dynamics simulations,,"machine-learning algorithm (trajectory-based analysis of conformations to identify cryptic sites), which uses an ensemble of molecular structures (such as molecular dynamics simulation data) as input (standalone)",17.0,02/2024,7 months ago,,13.0,simple/authelia
SINCHO,https://github.com/genki-kudo/SINCHO-H2L,https://doi.org/10.1021/acs.jcim.3c02036,,,Protein Structure,Binding Site Prediction,Growth Site Prediction,,SINCHO protocol is a method for the prediction/suggestion of the desirable anchor atom and growth site pair for the modification of the hit compound in hit-to-lead process.,7.0,05/2024,3 months ago,,0.0,simple/authelia
PinMyMetal,https://github.com/hhz-lab/PinMyMetal.git,https://doi.org/10.21203/rs.3.rs-3908734/v1,https://pmm.biocloud.top/,,Protein Structure,Binding Site Prediction,Metal-binding site,,"Specific details about PinMyMetal, presumably a tool for predicting metal-binding sites in proteins, were not provided in the data fetched.",1.0,03/2024,6 months ago,,1.0,simple/authelia
Barton et al.,,https://doi.org/10.21203/rs.3.rs-4849153/v1,,,Protein Structure,Binding Site Prediction,Reviews,,Comparative evaluation of methods for the prediction of protein-ligand binding sites,,,,,0.0,simple/authelia
IsoMIF,https://github.com/NRGlab/IsoMif,https://doi.org/10.1021/acs.jcim.5b00333,,,Protein Structure,Binding Site Similarity,,,,7.0,03/2015,115 months ago,,42.0,simple/authelia
PDBspheres,https://github.com/LLNL/PDBspheres,https://doi.org/10.1101/2022.01.04.474934,,,Protein Structure,Binding Site Similarity,,,a method for finding 3D similarities in local regions in proteins (pocket similarity) (standalone),6.0,08/2022,25 months ago,,4.0,simple/authelia
SiteMine,,https://doi.org/10.1002/ardp.202300661,,https://uhh.de/naomi,Protein Structure,Binding Site Similarity,,,"Large-scale binding site similarity searching in protein structure databases (online), 2024.",,,,,4.0,simple/authelia
protein-cluster-conformers,https://github.com/PDBeurope/protein-cluster-conformers,,,,Protein Structure,Conformational Ensemble Generation,Conformation Clustering,,used to cluster a parsed set of monomeric protein chains via a global conformational change metric based on CA distances.,9.0,05/2024,3 months ago,,,material/set-split
MDSubSampler,https://github.com/alepandini/MDSubSampler,https://doi.org/10.1093/bioinformatics/btad427,,,Protein Structure,Conformational Ensemble Generation,MD,,a posteriori sampling of important protein conformations from biomolecular simulations (standalone),8.0,07/2024,1 months ago,,1.0,material/set-split
SubPEx,https://github.com/durrantlab/subpex/,https://doi.org/10.1021%2Facs.jctc.3c00478,,http://durrantlab.com/subpex/,Protein Structure,Conformational Ensemble Generation,MD,,,13.0,05/2024,3 months ago,,0.0,material/set-split
AFsample2,https://github.com/iamysk/AFsample2,https://doi.org/10.1101/2024.05.28.596195,,,Protein Structure,Conformational Ensemble Generation,ML,,a method employing random MSA column masking to reduce the influence of co-evolutionary signals to enhance the structural diversity of models generated by the AF2 neural network,33.0,07/2024,1 months ago,,4.0,material/set-split
AF2-Rave,https://github.com/tiwarylab/alphafold2rave,https://doi.org/10.1021/acs.jctc.3c00290,,,Protein Structure,Conformational Ensemble Generation,ML,,"AF2-Rave combines AlphaFold2 with enhanced sampling to predict a range of conformations for a given protein sequence, aiming to generate Boltzmann-ranked conformations",57.0,07/2024,2 months ago,,35.0,material/set-split
AF-cluster,https://github.com/HWaymentSteele/AF_Cluster,https://doi.org/10.1101/2022.10.17.512570v1,,,Protein Structure,Conformational Ensemble Generation,ML,,"This method predicts multiple protein conformations using sequence clustering and AlphaFold2, aiming to capture the diversity of protein structures.",128.0,07/2024,1 months ago,,0.0,material/set-split
AlphaFlow,https://github.com/bjing2016/alphaflow,https://doi.org/10.48550/arXiv.2402.04845,,,Protein Structure,Conformational Ensemble Generation,ML,,AlphaFold Meets Flow Matching for Generating Protein Ensembles. (Note: There is a preprint challenging the claims in the AF-Cluster paper. You can read it **[here](https://doi.org/10.1101/2024.01.05.574434)**.),336.0,09/2024,0 months ago,,0.0,material/set-split
Str2Str,https://github.com/lujiarui/Str2Str,https://doi.org/10.1126/science.ade2574,,,Protein Structure,Conformational Ensemble Generation,ML,,"Str2Str is a score-based framework for zero-shot protein conformation sampling, drawing inspiration from traditional methods to sample conformations guided by a neural score network trained on the PDB database.",64.0,03/2024,6 months ago,,1143.0,material/set-split
DeepConformer,,https://doi.org/10.1101/2024.06.27.600251,,,Protein Structure,Conformational Ensemble Generation,ML,,diffusion generative model for sampling protein conformation distributions from a given amino acid sequence,,,,,0.0,material/set-split
ICoN,https://github.com/chang-group/ICoN,https://doi.org/10.21203/rs.3.rs-4301803/v1,,,Protein Structure,Conformational Ensemble Generation,ML,,Sampling Conformational Ensembles of Highly Dynamic Proteins via Generative Deep Learning,0.0,05/2024,3 months ago,,0.0,material/set-split
AlphTraj,https://github.com/dooo12332/AlphaTraj,https://doi.org/10.1021/acs.jctc.4c00476,,,Protein Structure,Conformational Ensemble Generation,Other,,AlphaTraj is software designed for analyzing pocket dynamics.,10.0,07/2024,1 months ago,,0.0,material/set-split
DANCE,https://github.com/PhyloSofS-Team/DANCE,https://doi.org/10.1101/2024.02.06.578951,,,Protein Structure,Conformational Ensemble Generation,Other,,DANCE is designed to process a set of input protein 3D structures provided in Crystallographic Information File (CIF) format and output protein or protein family-specific conformational collections in CIF or PDB format.,8.0,05/2024,3 months ago,,0.0,material/set-split
EnGens,https://github.com/KavrakiLab/EnGens,https://doi.org/10.1093/bib/bbad242,,,Protein Structure,Conformational Ensemble Generation,Other,,a computational framework for generation andanalysis of representative protein conformationalensembles (online),7.0,06/2024,2 months ago,,5.0,material/set-split
GMdSilva,https://github.com/GMdSilva/gms_natcomms_1705932980_data,https://doi.org/10.1101/2023.07.25.550545,,,Protein Structure,Conformational Ensemble Generation,Other,,,34.0,05/2024,3 months ago,,3.0,material/set-split
ICoN,https://github.com/chang-group/ICoN,https://doi.org/10.1101/2024.05.05.592587,,,Protein Structure,Conformational Ensemble Generation,Other,,,0.0,05/2024,3 months ago,,0.0,material/set-split
SMA-MD,https://github.com/olsson-group/sma-md,https://dx.doi.org/10.1088/2632-2153/ad3b64,,,Protein Structure,Conformational Ensemble Generation,Other,,,3.0,04/2024,4 months ago,,0.0,material/set-split
Lemon,https://github.com/chopralab/lemon,https://doi.org/10.1093/bioinformatics/btz178).,,,Protein Structure,Databases,Data Mining,,a framework for rapidly mining structural information from the Protein Data Bank (standalone),52.0,05/2020,52 months ago,,0.0,material/database
PDBminer,https://github.com/ELELAB/PDBminer,https://doi.org/10.1101/2023.05.06.539447,,,Protein Structure,Databases,Data Mining,,,29.0,03/2024,6 months ago,,2.0,material/database
EMDB,,https://doi.org/10.1093/nar/gkad1019,https://www.ebi.ac.uk/emdb/,,Protein Structure,Databases,Databases,,Electron Microscopy Data Bank,,,,,15.0,material/database
PDB,,https://doi.org/10.1093/nar/28.1.235,https://www.rcsb.org/,,Protein Structure,Databases,Databases,,"The RCSB Protein Data Bank provides access to experimentally determined 3D structures from the PDB archive and computed structure models, offering tools for exploration, visualization, and analysis.",,,,,29407.0,material/database
PDBe,,http://dx.doi.org/10.1093/nar/gkz990,https://www.ebi.ac.uk/pdbe,,Protein Structure,Databases,Databases,,,,,,,37.0,material/database
PDB-redo,,https://doi.org/10.1107/s0907444911054515,https://pdb-redo.eu/,,Protein Structure,Databases,Databases,,"Offers optimized versions of PDB entries through an automated procedure that refines, rebuilds, and validates structural models, combining popular crystallographic software with specially developed tools.",,,,,189.0,material/database
HHpred,,https://doi.org/10.1093%2Fnar%2Fgki408,https://toolkit.tuebingen.mpg.de/#/tools/hhpred,,Protein Structure,Homology Modelling,,,homology and structure prediction (online),,,,,2992.0,material/approximately-equal
HOMELETTE,https://github.com/PhilippJunk/homelette,https://doi.org/10.1093/bioinformatics/btab866):,,,Protein Structure,Homology Modelling,,,a unified interface to homology modelling software (standalone),10.0,09/2023,11 months ago,,0.0,material/approximately-equal
Phyre2,,https://doi.org/10.1038%2Fnprot.2015.053,http://www.sbg.bio.ic.ac.uk/phyre2/html/page.cgi?id=index,,Protein Structure,Homology Modelling,,,"Phyre2 is a tool for predicting and analyzing protein structure, function, and mutations. The server provides an expert mode for registered users and integrates models directly from the AlphaFold Protein Structure Database for one-to-one threading.",,,,,8089.0,material/approximately-equal
SWISS-MODEL,,https://doi.org/10.1093/nar/gky427,http://swissmodel.expasy.org/,,Protein Structure,Homology Modelling,,,"an automated protein structure homology-modelling server, accessible via the ExPASy web server",,,,,8885.0,material/approximately-equal
KarmaLoop,https://github.com/karma211225/KarmaLoop,,,https://zenodo.org/records/10046214,Protein Structure,Loop Modelling,,,DL method centered on full-atom (encompassing both backbone and side-chain heavy atoms) protein loop modeling,10.0,06/2024,3 months ago,,,material/restore
MoMA-LoopSampler,,https://doi.org/10.1093/bioinformatics/btab584,https://moma.laas.fr/applications/LoopSampler/,,Protein Structure,Loop Modelling,Data Mining,,A web server to exhaustively sample protein loop conformations (online),,,,,4.0,material/restore
AlphaFold,,https://doi.org/10.1038/s41586-021-03819-2,,https://alphafold.ebi.ac.uk/,Protein Structure,ML Structure Prediction,General,,"Protein Structure Database (predicted human 3D proteins, July 2021)",,,,,22539.0,material/timeline-question
AlphaFold-Multimer,,https://doi.org/10.1101/2021.10.04.463034,,https://colab.research.google.com/github/deepmind/alphafold/blob/main/notebooks/AlphaFold.ipynb,Protein Structure,ML Structure Prediction,General,,a model that can predict the structure of multi-chain protein complexes with increased accuracy (standalone),,,,,0.0,material/timeline-question
ColabFold,https://github.com/sokrypton/ColabFold,https://doi.org/10.1038/s41592-022-01488-1,,,Protein Structure,ML Structure Prediction,General,,making protein folding accessible to all (standalone),1865.0,08/2024,0 months ago,,4511.0,material/timeline-question
DMFold,,https://www.nature.com/articles/s41592-023-02130-4,https://zhanggroup.org/DMFold/download/,,Protein Structure,ML Structure Prediction,General,,DMFold standalone package is an integrated program of DeepMSA2 and AlphaFold2 for protein monomer and protein complex structure prediction,,,,,,material/timeline-question
DMFold,,,,https://zhanggroup.org/DMFold/download/,Protein Structure,ML Structure Prediction,General,,A tool that integrates large genomic and metagenomics sequence databases for improved protein structure prediction.,,,,,,material/timeline-question
ESM,https://github.com/facebookresearch/esm,https://doi.org/10.1101/2021.02.12.430858v1,,,Protein Structure,ML Structure Prediction,General,,Evolutionary Scale Modeling to predict protein 3D structure (standalone) (online),3107.0,06/2023,14 months ago,,0.0,material/timeline-question
ESMFold,,https://doi.org/10.1126/science.ade2574,,https://esmatlas.com/about,Protein Structure,ML Structure Prediction,General,,ESM Metagenomic Atlas contains several millions of predicted protein structures (can be used via ChimeraX) (online),,,,,1143.0,material/timeline-question
Evo,https://github.com/evo-design/evo,https://doi.org/10.1101/2024.02.27.582234v1,,,Protein Structure,ML Structure Prediction,General,,"A long-context foundation model that generalizes across the central dogma of biology: DNA, RNA, and proteins.",923.0,09/2024,0 months ago,,0.0,material/timeline-question
McGuffin Group Web Servers,,,https://www.reading.ac.uk/bioinf/index.html,,Protein Structure,ML Structure Prediction,General,,"This link points to the home page of the McGuffin Group Web Servers at the University of Reading, which provides various bioinformatics tools, although specific details about the tools were not provided.",,,,,,material/timeline-question
Openfold,https://github.com/aqlaboratory/openfold,https://doi.org/10.1101/2022.11.20.517210,,,Protein Structure,ML Structure Prediction,General,,A faithful PyTorch reproduction of DeepMind's AlphaFold2 (standalone),2710.0,07/2024,1 months ago,,91.0,material/timeline-question
Raptor-X,https://github.com/AndersJing/RaptorX-Single,https://doi.org/10.5281/zenodo.7351378,,,Protein Structure,ML Structure Prediction,General,,RaptorX-Single: exploring the advantage of single sequence based protein structure prediction,17.0,05/2024,4 months ago,,0.0,material/timeline-question
Robetta,,https://doi.org/10.1093%2Fnar%2Fgkh468,https://robetta.bakerlab.org/,,Protein Structure,ML Structure Prediction,General,,"Robetta offers structure prediction using deep learning methods like RoseTTAFold and TrRosetta. It allows for custom sequence alignments, constraints, local fragments for homology modeling, and can model multi-chain complexes.",,,,,1623.0,material/timeline-question
RoseTTAFold,https://github.com/RosettaCommons/RoseTTAFold,https://doi.org/10.1126/science.abj8754,,,Protein Structure,ML Structure Prediction,General,,"This package contains deep learning models and scripts for RoseTTAFold, an accurate method for protein structure prediction that includes a 3-track network. It's capable of modeling multi-chain complexes and provides an option for large scale sampling.",1983.0,01/2022,31 months ago,,3311.0,material/timeline-question
AlphaFold-multimer,https://github.com/google-deepmind/alphafold,https://doi.org/10.1038/s41586-021-03819-2,,,Protein Structure,ML Structure Prediction,Quaternary structure,,"The specific details about AlphaFold-multimer could not be directly retrieved, but it extends AlphaFold2's capabilities to predict structures of protein complexes (multimers).",12274.0,05/2024,4 months ago,,22539.0,material/timeline-question
CombFold,,,,https://lnkd.in/gRVdfaZV,Protein Structure,ML Structure Prediction,Quaternary structure,,a combinatorial and hierarchical assembly algorithm combined with AlphaFold2 for predicting structures of large protein assemblies,,,,,,material/timeline-question
DeepComplex,,,http://tulip.rnet.missouri.edu/deepcomplex/web_index.html,,Protein Structure,ML Structure Prediction,Quaternary structure,,"This document has moved, and direct content was not provided in the data fetched, but DeepComplex is aimed at predicting quaternary protein structures.",,,,,,material/timeline-question
DiffusionProteinLigand,https://github.com/shuyana/DiffusionProteinLigand,https://doi.org/10.1186/s12859-023-05354-5,,,Protein Structure,ML Structure Prediction,Structure Prediction with Ligand,,End-to-end protein–ligand complex structure generation with diffusion-based generative models (standalone).,74.0,02/2024,6 months ago,,12.0,material/timeline-question
DynamicBind,https://github.com/luwei0917/DynamicBind,https://doi.org/10.1038/s41467-024-45461-2,,,Protein Structure,ML Structure Prediction,Structure Prediction with Ligand,,"DynamicBind recovers ligand-specific conformations from unbound protein structures (e.g. AF2-predicted structures), promoting efficient transitions between different equilibrium states.",177.0,05/2024,3 months ago,,17.0,material/timeline-question
NeuralPlexer,https://github.com/zrqiao/NeuralPLexer,https://doi.org/10.1038/s42256-024-00792-z,,,Protein Structure,ML Structure Prediction,Structure Prediction with Ligand,,a deep generative model to jointly predict protein-ligand complex 3D structures and beyond.,254.0,04/2024,4 months ago,,17.0,material/timeline-question
RoseTTAFold_AllAtom,https://github.com/AaronFeller/RoseTTAFold-All-Atom/blob/main/README.md,https://doi.org/10.1126/science.adl2528,,,Protein Structure,ML Structure Prediction,Structure Prediction with Ligand,,"biomolecular structure prediction neural network that can predict a broad range of biomolecular assemblies including proteins, nucleic acids, small molecules, covalent modifications and metals as outlined in the RFAA paper.",0.0,03/2024,6 months ago,,85.0,material/timeline-question
Umol,https://github.com/patrickbryant1/Umol,https://doi.org/10.1038/s41467-024-48837-6,,,Protein Structure,ML Structure Prediction,Structure Prediction with Ligand,,"Umol is designed for protein-ligand structure prediction, representing the protein with a multiple sequence alignment and the ligand as a SMILES string, with versions utilizing protein pocket information recommended.",182.0,07/2024,1 months ago,,5.0,material/timeline-question
MemBrain,,,,http://www.csbio.sjtu.edu.cn/bioinf/MemBrain/,Protein Structure,ML Structure Prediction,Trans-membrane Proteins,,The site provides resources related to membrane protein prediction but specific details about the MemBrain tool were not provided.,,,,,,material/timeline-question
membraneFold,,https://doi.org/10.1101/2022.12.06.518085,https://ku.biolib.com/MembraneFold/,,Protein Structure,ML Structure Prediction,Trans-membrane Proteins,,"This resource is intended for predicting membrane protein structures, but specific details were not provided.",,,,,12.0,material/timeline-question
PredMP,,,,http://www.predmp.com/,Protein Structure,ML Structure Prediction,Trans-membrane Proteins,,"The website's specific content was not retrievable due to request issues, but PredMP is designed for predicting membrane protein types and orientations.",,,,,,material/timeline-question
RosettaGPCR,https://github.com/benderb1/rosettagpcr,https://doi.org/10.1101/2019.12.13.875237v1,,,Protein Structure,ML Structure Prediction,Trans-membrane Proteins,,"This repository contains methods for generating models of G protein-coupled receptors (GPCRs) using Rosetta, including a database of templates updated through June 2020.",3.0,07/2020,50 months ago,,0.0,material/timeline-question
alphaCharges,https://github.com/sb-ncbr/AlphaCharges,https://doi.org/10.1093/nar/gkad349,https://alphacharges.ncbr.muni.cz/,,Protein Structure,Other,Partial Charge Calculation,,,8.0,02/2024,6 months ago,,1.0,material/dots-horizontal
GraphSite,https://github.com/shiwentao00/Graphsite,https://doi.org/10.1101/2021.12.06.471420v1,,,Protein Structure,Other,Protein Representation,,"GraphSite is a Python software that generates graph representations of protein binding sites, where each atom becomes a node, and edges represent close proximity, useful for applications based on graph neural networks.",9.0,12/2021,33 months ago,,0.0,material/dots-horizontal
3D-Garden,,https://doi.org/10.1093/bioinformatics/btn093,http://www.sbg.bio.ic.ac.uk/~3dgarden/,,Protein Structure,Protein-Protein Docking,,,A system for modelling protein-protein complexes based on conformational refinement of ensembles generated with the marching cubes algorithm (online),,,,,53.0,material/set-all
AREA-AFFINITY,,https://doi.org/10.1021/acs.jcim.2c01499,,https://affinity.cuhk.edu.cn/,Protein Structure,Protein-Protein Docking,,,Server for Machine Learning-Based Prediction of Protein-Protein and Antibody-Protein Antigen Binding Affinities (online),,,,,8.0,material/set-all
Arpeggio,,https://doi.org/10.1016/j.jmb.2016.12.004,http://biosig.unimelb.edu.au/arpeggioweb/,,Protein Structure,Protein-Protein Docking,,,A webserver for calculating interatomic interactions in protein structures (online & standalone),,,,,355.0,material/set-all
BAlaS,https://github.com/wells-wood-research/balas,https://doi.org/10.1093/bioinformatics/btaa026,,,Protein Structure,Protein-Protein Docking,,,"fast, interactive and accessible computational alanine-scanning using BudeAlaScan (online)",9.0,03/2021,42 months ago,,44.0,material/set-all
Cluspro,,https://doi.org/10.1038%2Fnprot.2016.169,https://cluspro.bu.edu/login.php,,Protein Structure,Protein-Protein Docking,,,protein docking (online),,,,,2077.0,material/set-all
ClusPro FMFT-SAXS,,https://doi.org/10.1038%2Fnprot.2016.169,,https://beta.cluspro.org/,Protein Structure,Protein-Protein Docking,,,Ultra-fast Filtering Using Small-Angle X-ray Scattering Data in Protein Docking (online and standalone),,,,,2077.0,material/set-all
ClusPro TBM,,https://doi.org/10.1038%2Fnprot.2016.169,,https://tbm.cluspro.org/,Protein Structure,Protein-Protein Docking,,,Toward combining template-based methods with free docking (protein-protein docking) (online),,,,,2077.0,material/set-all
ClusPro-DC,,https://doi.org/10.1038%2Fnprot.2016.169,https://cluspro.bu.edu/,,Protein Structure,Protein-Protein Docking,,,discrimination between Xray and biological dimers (online requires login),,,,,2077.0,material/set-all
